{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.00916724977211074), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0116306470786183)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0016880260879469581), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.002002489828041)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(7.93297813573547e-07), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000012929416378)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(7.93297813573547e-07), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000012929416378)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.79905116246088e-09), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000000123497135)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(7.93297813573547e-07), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000012929416378)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.012345817355663941), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.128852315100137)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0008942662811360146), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.0065419177698818)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0018497692401893359), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.163110298736611)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0008089350126225869), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0468430179801689)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.714686785619119e-08), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000004789497734)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.1296288451320102e-06), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000406450061665)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.714686785619119e-08), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000004789497734)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.714686785619119e-08), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000004789497734)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.05602950794930959), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.1378322740623548)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.000634688775816457), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0016074307638914)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.03325027389259521), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.110354809488739)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0007698223601242477), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.002009477149392)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.05527402705777801), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.1964972384214776)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(3.9167085021508345e-07), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.0000018074195574)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(7.092445324975515)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(7.092445324975515)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(7.092445324975515)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(7.092445324975515)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(7.092445324975515)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.03913333828482728), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(1.2432710064221415)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.341041219113089e-05), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(1.0005429865994706)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.148220608348717e-09), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(1.000000041367302)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.148220608348717e-09), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(1.000000041367302)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.148220608348717e-09), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(1.000000041367302)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.148220608348717e-09), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(1.000000041367302)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(2.8810152296704565)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(2.8810152296704565)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(2.8810152296704565)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(2.8810152296704565)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(2.8810152296704565)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.02796640310435809), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(1.0366358986863111)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0009229005865560082), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(1.0015537530683924)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.039080655344726e-07), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(1.0000000835947374)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.039080655344726e-07), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(1.0000000835947374)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.039080655344726e-07), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(1.0000000835947374)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.039080655344726e-07), 'shap_norm_sq': np.float64(5.682288795096233), 'weighted_error': np.float64(1.0000000835947374)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(26.36779319033484)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(26.36779319033484)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(26.36779319033484)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(26.36779319033484)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(26.36779319033484)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0009907833084097071), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(1.02296538455236)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0004588260301977851), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(1.0084657100684167)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.555203489375638e-09), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(1.0000000642752336)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.555203489375638e-09), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(1.0000000642752336)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.555203489375638e-09), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(1.0000000642752336)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.555203489375638e-09), 'shap_norm_sq': np.float64(3.1966860573209464), 'weighted_error': np.float64(1.0000000642752336)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(8.506417895324557)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(8.506417895324557)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(8.506417895324557)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(8.506417895324557)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(8.506417895324557)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.008048092790566636), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(1.060879073601925)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0007752966044994391), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(1.0058767206089794)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.023308446154563e-12), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(1.0000000000071767)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.023308446154563e-12), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(1.0000000000071767)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.023308446154563e-12), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(1.0000000000071767)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.023308446154563e-12), 'shap_norm_sq': np.float64(3.008199078669176), 'weighted_error': np.float64(1.0000000000071767)}
